record_name,release_name,model,passed,repair_rounds,note
Edgedetect2,Edgedetect2,gpt-4o,0,25,
Edgedetect2,Edgedetect2,gpt-4o-mini,0,25,
Edgedetect2,Edgedetect2,o1-mini,0,25,
edge_detect,edge_detect,gpt-4,1,1,
edge_detect,edge_detect,gpt-4o,1,0,
edge_detect,edge_detect,gpt-4o-mini,1,0,
edge_detect,edge_detect,o1-mini,1,0,
encoder_8_3,encoder_8_3,gpt-4,1,0,
encoder_8_3,encoder_8_3,gpt-4o,1,0,
encoder_8_3,encoder_8_3,gpt-4o-mini,1,0,
encoder_8_3,encoder_8_3,o1-mini,1,0,
encoder_to_decoder,encoder_to_decoder,gpt-4,1,3,
encoder_to_decoder,encoder_to_decoder,gpt-4o,1,0,
encoder_to_decoder,encoder_to_decoder,gpt-4o-mini,1,0,
encoder_to_decoder,encoder_to_decoder,o1-mini,1,0,
Exams_2012_q1g,2012_q1g,gpt-4,1,5,
Exams_2012_q1g,2012_q1g,gpt-4o,1,7,
Exams_2012_q1g,2012_q1g,gpt-4o-mini,0,25,
Exams_2012_q1g,2012_q1g,o1-mini,1,3,
Exams_2013_q2bfsm,2013_q2bfsm,gpt-4,0,25,
Exams_2013_q2bfsm,2013_q2bfsm,gpt-4o,0,25,
Exams_2013_q2bfsm,2013_q2bfsm,gpt-4o-mini,0,25,
Exams_2013_q2bfsm,2013_q2bfsm,o1-mini,0,25,
Exams_2014_q3bfsm,2014_q3bfsm,gpt-4,0,25,
Exams_2014_q3bfsm,2014_q3bfsm,gpt-4o,0,25,
Exams_2014_q3bfsm,2014_q3bfsm,gpt-4o-mini,0,25,
Exams_2014_q3bfsm,2014_q3bfsm,o1-mini,0,25,
Exams_2014_q3c,2014_q3c,gpt-4,1,7,
Exams_2014_q3c,2014_q3c,gpt-4o,1,1,
Exams_2014_q3c,2014_q3c,gpt-4o-mini,1,0,
Exams_2014_q3c,2014_q3c,o1-mini,1,0,
Exams_2014_q3fsm,2014_q3fsm,gpt-4,0,25,
Exams_2014_q3fsm,2014_q3fsm,gpt-4o,0,25,
Exams_2014_q3fsm,2014_q3fsm,gpt-4o-mini,0,25,
Exams_2014_q3fsm,2014_q3fsm,o1-mini,0,25,
Fadd,Fadd,gpt-4,1,0,
Fadd,Fadd,gpt-4o,1,0,
Fadd,Fadd,gpt-4o-mini,1,0,
Fadd,Fadd,o1-mini,1,0,
fifo_asynchronous,fifo_asynchronous,gpt-4,1,2,
fifo_asynchronous,fifo_asynchronous,gpt-4o,1,1,
fifo_asynchronous,fifo_asynchronous,gpt-4o-mini,1,5,
fifo_asynchronous,fifo_asynchronous,o1-mini,1,10,
fifo_synchronous,fifo_synchronous,gpt-4,1,3,
fifo_synchronous,fifo_synchronous,gpt-4o,1,0,
fifo_synchronous,fifo_synchronous,gpt-4o-mini,1,6,
fifo_synchronous,fifo_synchronous,o1-mini,1,1,
freq_div,freq_div,gpt-4,1,5,
freq_div,freq_div,gpt-4o,1,0,
freq_div,freq_div,gpt-4o-mini,1,0,
freq_div,freq_div,o1-mini,1,0,
fsm,fsm,gpt-4,1,5,
fsm,fsm,gpt-4o,1,16,
fsm,fsm,gpt-4o-mini,0,25,
fsm,fsm,o1-mini,1,2,
Fsm3,Fsm3,gpt-4,0,25,
Fsm3,Fsm3,gpt-4o,0,25,
Fsm3,Fsm3,gpt-4o-mini,0,25,
Fsm3,Fsm3,o1-mini,0,25,
Fsm3comb,Fsm3comb,gpt-4,1,0,
Fsm3comb,Fsm3comb,gpt-4o,1,0,
Fsm3comb,Fsm3comb,gpt-4o-mini,1,0,
Fsm3comb,Fsm3comb,o1-mini,1,0,
Fsm3onehot,Fsm3onehot,gpt-4,1,1,
Fsm3onehot,Fsm3onehot,gpt-4o,1,0,
Fsm3onehot,Fsm3onehot,gpt-4o-mini,1,17,
Fsm3onehot,Fsm3onehot,o1-mini,1,0,
Fsm3s,Fsm3s,gpt-4,0,25,
Fsm3s,Fsm3s,gpt-4o,0,25,
Fsm3s,Fsm3s,gpt-4o-mini,0,25,
Fsm3s,Fsm3s,o1-mini,0,25,
Fsm_hdlc,Fsm_hdlc,gpt-4,0,25,
Fsm_hdlc,Fsm_hdlc,gpt-4o,0,25,
Fsm_hdlc,Fsm_hdlc,gpt-4o-mini,0,25,
Fsm_hdlc,Fsm_hdlc,o1-mini,0,25,
Fsm_ps2,Fsm_ps2,gpt-4,0,25,
Fsm_ps2,Fsm_ps2,gpt-4o,0,25,
Fsm_ps2,Fsm_ps2,gpt-4o-mini,0,25,
Fsm_ps2,Fsm_ps2,o1-mini,0,25,
Fsm_ps2data,Fsm_ps2data,gpt-4,0,25,
